sep=;
Frage;Frage_Label;Status;Status_Text;Gezaehlt;BibKey;Seitenbereich;Seitenzahl;AutorIn;HerausgeberIn;Jahr;Titel;Buchtitel / Journal;BibTeX-Seiten;DOI;URL;BibTeX-Annotation;Korpus_Pruefsumme
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;hoyer2013begabung;94--99;6;"Hoyer, Timo; Weigand, Gabriele; Müller-Oppliger, Victor";;2013;Begabung: Eine Einführung;;;;;"Vorgaenger-/Schwesterpublikation zu Handbuch Begabung 2021. Kap. 5.1 Konzepte/Modelle (Gardner, Multiple Intelligenzen); Kap. 6.6 Turning Point: Das ``Three Ring Concept''; Kap. 7.1 Das ``Schoolwide Enrichment Model'' als Choreografie inklusiver Begabungs- und Begabtenfoerderung.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;baudson2021wasdenken;119;1;Baudson, Tanja Gabriele;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Was Menschen über (Hoch-)Begabung und (Hoch-)Begabte denken: Individuelle und soziokulturelle Perspektiven;Handbuch Begabung;115–129;;;"15 S. (S. 115–129). Seitenspanne von Inti verifiziert (KERNLITERATUR\_INTI.md, Fragen 1, 3, 5); der Scan umfasst die Fliesstext-Seiten 115–128 plus die erste Literaturseite 129. Volltext via OCR (source.pdf, komprimiert 6.7 MB) vorliegend. Gliederung: (1) Begriffliche Abgrenzungen, (2) Erkennen mit IQ-Kritik und Lehrkrafturteil ($\rho = .50$), (3) Hochbegabungs- konzeptionen (Disharmonie-Stereotyp, Cultural Mismatch, Minoritätenstress, Cass-Stufenmodell), (4) Folgerungen für globalisierte Gesellschaft. Schlüsselbeleg für FW1 (Sprache als Identifikationsbarriere, S. 120), FW3 (kultursensible Begabungsdiagnostik, S. 125) und BW4 (Inklusionsdebatte vergisst Begabung, S. 119). Vollständige verified\_quotes.md Status 4 vorliegend.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);N;nicht gezaehlt;nein;cast2024udlguidelines;online;0;CAST, Inc.;;2024;Universal Design for Learning Guidelines;;;;http://udlguidelines.cast.org;Version 3.0 (2024). UDL-Framework drei Hauptbereiche: Lernengagement (Interesse, Anstrengung, emotionale Kompetenz), Darstellung von Informationen (Wahrnehmung, Sprache, Wissensaufbau), Informationsverarbeitung und Ergebnisdarstellung (Zugang, Ausdruck, Strategieentwicklung). Frage 4- und Frage 5-relevant.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);N;nicht gezaehlt;nein;booth2019index;bei Frage 3 gezaehlt;0;"Booth, Tony; Ainscow, Mel";"Achermann, Bruno; Amirpur, Donja; Braunsteiner, Maria-Luise; Demo, Heidrun; Plate, Elisabeth; Platte, Andrea";2019;Index für Inklusion: Ein Leitfaden für Schulentwicklung;;;;;Dimensionen A–C: ca. 90 S. (verteilt auf Fr. 3 und 4);a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;muelleroppliger2021paeddiagnostik;224--238;15;Müller-Oppliger, Salomé;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Pädagogische Diagnostik: Potenzialerfassung und Förderdiagnostik;Handbuch Begabung;224–238;;;"ca. 15 S. Phasenmodell vermuten/wahrnehmen/erkennen; Meeraugenprinzip; Förder- vs. Statusdiagnostik.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;weigand2021person;46--59;14;Weigand, Gabriele;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Begabung, Bildung und Person;Handbuch Begabung;46–63;;;ca. 18 S. Philosophisch-päd. Fundament: konstitutive/kritisch-konstruktive/regulative Funktion des Personenprinzips.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;horvath2021elite;77--87;11;Horvath, Kenneth;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Elite, Begabung und soziale Ungleichheit: Ungelöste Gerechtigkeitsfragen;Handbuch Begabung;77–87;;;11 S. (S. 77–87). Von Inti verifiziert (KERNLITERATUR\_INTI.md, Fragen 1, 4, 5). Meritokratische Illusion, Pygmalion-Effekt, Migrationshintergrund als verwobene Kategorie.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;reisrenzullimueller2021sem;333--342;10;"Reis, Sally M.; Renzulli, Joseph S.; Müller-Oppliger, Victor";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Das Schoolwide Enrichment Model (SEM): Vier Jahrzehnte Forschung zur Entwicklung von Talenten und kreativer Produktivität;Handbuch Begabung;333–347;;;"15 S. (S. 333–347). SEM-Hauptbeitrag im Handbuch Begabung, Teil IV \enquoteBegabende Schule. Drei-Ringe-Konzept als anti-essenzialistische Basis (S. 334\psq); RIS mit alternativen Identifikationspfaden für die 50 % nicht durch Standardtests Erkannten (S. 337); Enrichment Triad mit Typ I/II/III (S. 338\psq); Drehtürmodell (S. 342) und Schlüsselsatz \enquoteBegabung ist kein schulpsychologischer Fall; Curriculum Compacting (S. 343\psq); Schweizer SEM-Praxis an PH FHNW seit 2003 (S. 344\psq); Längsschnittstudien Delcourt 1993, Hébert 1993, Westberg, Renzulli/Reis 2014 (S. 346\psq). Achtung: Im bisherigen Manuskript fälschlich unter dem Citekey \textttrenzullireis2021rls zitiert – jener verweist auf den anderen Beitrag der beiden Autor:innen zum \enquoteRenzulli-Lernsystem (S. 444–454).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;groschefussangelgraesel2020kokonstruktion;463--467, 469--472;9;"Grosche, Michael; Fussangel, Kathrin; Gr\""asel, Cornelia";;2020;"Kokonstruktive Kooperation zwischen Lehrkr\""aften: Aktualisierung und Erweiterung der Kokonstruktionstheorie sowie deren Anwendung am Beispiel schulischer Inklusion";"Zeitschrift f\""ur P\""adagogik";461–479;;;"19 S. (S. 461–479). Zeitschrift f\""ur P\""adagogik 66(4). Drei Formen der Kooperation: Austausch, arbeitsteilige Kooperation, Kokonstruktion. Modell mit Rahmenbedingungen, sozialen Vorbedingungen (Zielinterdependenz, Vertrauen, Egalit\""at, Reziprozit\""at, Deprivatisierung), Handlungen, proximalen und distalen Folgen. Frage 5 zentrale Theoriequelle. Eine ZB-Auszugsversion (4 S.) liegt zus\""atzlich als zb\_wirkmodell\_konstruktive\_kooperation.pdf im selben Ordner.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;nguyensliwka2021massnahmen;348--356;9;"Nguyen, Thuy Loan; Sliwka, Anne";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Schulische Massnahmen und Kompetenzen von Lehrpersonen für die Begabungsförderung;Handbuch Begabung;348–358;;;"11 S. (S. 348–358). Teil IV des Handbuchs Begabung. Internationale Vergleichsperspektive: PISA/TIMSS-Stagnation Deutschlands seit 2000 (S. 348); Lehrerausbildungsschwächen und Internationale Vorbilder Jyväskylä/Amsterdam (S. 349\psq); UDL und adaptive Lehrkompetenz (Brühwiler 2014, S. 350\psq); Cognitive Apprenticeship Model (S. 351\psq); Growth Mindset (Dweck 2008, S. 352\psq); Schulen als professionelle Lerngemeinschaften (S. 354\psq); kontinuierliche konzeptionelle Zusammenarbeit Lehrperson/SHP (S. 355); Wrap-Around-Service-Schools Kanada/Finnland (S. 355\psq); \textbfCard/Giuliano (2015/2016) Verdreifachung der hispanischen/afroamerikanischen Identifikation durch flächendeckendes Screening (S. 355\psq) – empirischer Schlüsselbefund für Frage 5; Schluss: multiperspektivischer Ansatz unter Berücksichtigung sozioökonomischer Verhältnisse (S. 356).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;ziesenitz2024routenplan;75--82;8;Ziesenitz, Anna Katharina;"Breyel, Sabine; Evers, Wiebke; Koop, Christine; Lotze, Miriam";2024;Underachievement: Ein Routenplan für den Dschungel;Underachievement in der Schule. Potenziale sehen, Entwicklung begleiten;75–82;10.25656/01:32095;;"8 S. (S. 75–82). Erg\""anzende Transferliteratur, Frage 5. Stufenlogik: Beobachten, Dokumentieren, Diagnostik, F\""orderplan im Team. Operationalisierung der SHP-Trias. Verifiziert via pdf\_extract.py. Open Access via pedocs.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;widmerwolf2018multiprofessionell;299--303, 308--309;7;Widmer-Wolf, Patrik;;2018;Kooperation in multiprofessionellen Teams an inklusiven Schulen;Handbuch schulische Inklusion;299–313;;;"15 S. (S. 299–313). Voraussetzungsgef\""uge multiprofessioneller Zusammenarbeit; Autonomie und Kooperation als zirkul\""are Aspekte; vier Berufsfelder (sonderp\""adagogische F\""orderung, Schulsozialarbeit, DaZ, Logop\""adie). Theoriebez\""uge: Werning/L\""oser 2010, Fussangel/Gr\""asel 2010/2011. Frage 5 zentrale Quelle.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;gauckreimann2021psychdiagnostik;244--247;4;"Gauck, Letizia; Reimann, Giselle";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Psychologische Diagnostik in der Begabungs- und Begabtenförderung;Handbuch Begabung;239–251;;;"ca. 13 S. Vier-Schritte-Prozess; Deckeneffekt; Aisha-/Lea-Vignetten (deutschsprachiger Fallbeleg für Unteridentifikation).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);K;Kernliteratur;ja;kosoroklabhart2021voneltern;14--15, 38--39;4;"Košorok Labhart, Carmen; Schöllhorn, Angelika; Luginbühl, Dora";;2021;Von Eltern mit Migrationshintergrund lernen: Denkanstösse für die kultursensible Praxis in Spielgruppe, Kita und Schule;;;;;Ausgewählte Kapitel zur kultursensiblen Elternarbeit: 8 S. (Frage 5 im 500-S.-Korpus).;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);S;gezaehlte Stuetzliteratur;ja;muelleroppliger2021adaptive;384--387;4;Müller-Oppliger, Victor;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Adaptive Lernarchitekturen: Begabungs- und Begabtenförderung innerhalb der Lerngemeinschaft;Handbuch Begabung;374–389;;;"16 S. (S. 374–389). Teil V \enquoteBegabender Unterricht. Definition adaptiver Lernarchitektur als Anpassung der Wissensvermittlung an Wissensstand, Lernpräferenzen und Möglichkeiten der Lernenden (S. 374\psq); empirische Wirksamkeit über alle ethnischen und sozioökonomischen Gruppen, Walberg-Metaanalyse 38 Studien/7200 Lernende (S. 375\psq); Ermöglichungsdidaktik nach Arnold/Schön 2019 (S. 377); vier konstituierende Merkmale (S. 378\psq); Hochbegabung weit mehr als fachliche Exzellenz, vier Bildungsdimensionen Begabung+soziales Kapital/Leadership/Verantwortung/Ethik (S. 380\psq); Lernberatung nach Shulman 2006 mit Knowing What/How/Why (S. 386\psq); erweiterte Leistungsbeurteilung mit Portfolio/Logbuch/Lernjournal (S. 387\psq); Schluss \enquoteanders als die anderen löst sich auf, denn alle sind anders (S. 388\psq). Achtung: Im PDF-Dateinamen und in einer früheren Manuskript-Version fälschlich als \enquoteS. 274–285 bzw. \enquoteS. 274–385 annotiert; auf S. 274–303 steht im Sammelband Preckels TAD-Beitrag.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);S;gezaehlte Stuetzliteratur;ja;muelleroppliger2021plurale;40--42;3;Müller-Oppliger, Victor;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Plurale Gesellschaft, Inklusion und Bildungsgerechtigkeit;Handbuch Begabung;32–45;;;14 S. (S. 32–45). Frage 4 im 500-S.-Korpus.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);S;gezaehlte Stuetzliteratur;ja;kummerwyss2017kooperativunterrichten;157, 160;2;Kummer Wyss, Annemarie;"Buholzer, Alois; Kummer Wyss, Annemarie";2017;Kooperativ unterrichten;Alle gleich – alle unterschiedlich! Zum Umgang mit Heterogenität in Schule und Unterricht;151–160;;;"10 S. (S. 151–160). 3. Aufl. 2017 (Erstauflage 2010, S. 151–162 bei Klett und Balmer Zug). Beitrag im Sammelband Buholzer/Kummer Wyss; verbindet sich thematisch mit kappus2010migration (S. 63–77) und grossrieder2010anerkennung (S. 87–95) aus demselben Band. Volltext-PDF in Literatur/kummerwyss2017kooperativunterrichten/source.pdf.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);S;gezaehlte Stuetzliteratur;ja;sedmak2021bildungsgerechtigkeit;71--72;2;"Sedmak, Clemens; Kapferer, Elisabeth";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Begabtenförderung und Bildungsgerechtigkeit;Handbuch Begabung;65–76;;;12 S. (S. 65–76). Frage 4 im 500-S.-Korpus.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F5;Frage 5 (BW, ZB/PV: Profession);S;gezaehlte Stuetzliteratur;ja;wagener2021bfhemmendfoerdernd;424--425;2;Wagener, Gundula;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Begabungsfördernde und hemmende Wirkungsmechanismen im Klassenkontext;Handbuch Begabung;418–426;;;"9 S. (S. 418–426). Teil V \enquoteBegabender Unterricht. Systemtheoretischer Rahmen mit Aktiotop und ökologischem Begabungsmodell (S. 418\psq); \enquoteDie Klasse macht den Unterschied (Schweitz 2003, S. 420); Bildungskapital-Typologie nach Ziegler/Stöger 2013 mit fünf Kategorien (S. 420\psq); Zimmer/Toma 2003 und Opdenakker/Van Damme 2001 zu sozioökonomisch differenzierten Effekten (S. 421); Peer-Mechanismen Big-Fish-Little-Pond, Acting White, Signaltheorie, Ansteckungstheorie (S. 421\psq) – relevant für begabte Migrantenkinder zwischen Peer-Kulturen; Pygmalion-Effekt auf Klassenebene (S. 423\psq); mehrstufige Zuständigkeitsaussage Lehrperson/Schulleitung/Bildungspolitik (S. 425); Quality Teaching als Effective+Good Teaching (Berliner 2005, S. 425\psq).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
